YEAR,dma_code,weight,HINCP_ADJ,AGEP,RAC1P,ESR
2008,500,0.002,39920.8488,84.0,1.0,6.0
2008,500,0.002,60084.951,44.0,1.0,2.0
2008,500,0.002,75157.1082,60.0,1.0,1.0
2008,500,0.002,29533.281,54.0,1.0,1.0
2008,500,0.002,66195.285,56.0,1.0,1.0
2008,500,0.002,209788.134,77.0,1.0,6.0
2008,500,0.002,120068.0631,22.0,1.0,1.0
2008,500,0.002,94139.87916,38.0,1.0,1.0
2008,500,0.002,51347.17338,51.0,1.0,1.0
2008,500,0.002,80350.8921,54.0,1.0,1.0
2008,500,0.002,78008.5974,44.0,1.0,1.0
2008,500,0.002,39004.2987,25.0,1.0,1.0
2008,500,0.002,65176.896,47.0,1.0,3.0
2008,500,0.002,34421.5482,72.0,1.0,1.0
2008,500,0.002,41550.2712,52.0,1.0,6.0
2008,500,0.002,101838.9,56.0,1.0,1.0
2008,500,0.002,35949.1317,51.0,1.0,1.0
2008,500,0.002,69454.1298,25.0,1.0,5.0
2008,500,0.002,54993.006,57.0,1.0,1.0
2008,500,0.002,72814.8135,77.0,1.0,6.0
2008,500,0.002,88294.3263,39.0,1.0,1.0
2008,500,0.002,275983.419,30.0,1.0,2.0
2008,500,0.002,35643.615,25.0,1.0,1.0
2008,500,0.002,142330.04664,51.0,1.0,1.0
2008,500,0.002,58251.8508,63.0,1.0,1.0
2008,500,0.002,34319.7093,67.0,1.0,6.0
2008,500,0.002,52956.228,44.0,1.0,1.0
2008,500,0.002,11405.9568,83.0,1.0,6.0
2008,500,0.002,142981.8156,33.0,1.0,6.0
2008,500,0.002,66195.285,42.0,1.0,1.0
2008,500,0.002,34217.8704,41.0,1.0,2.0
2008,500,0.002,52192.43625,68.0,1.0,2.0
2008,500,0.002,44096.2437,48.0,1.0,1.0
2008,500,0.002,105912.456,60.0,1.0,1.0
2008,500,0.002,12016.9902,51.0,1.0,6.0
2008,500,0.002,299406.366,75.0,1.0,6.0
2008,500,0.002,40633.7211,63.0,1.0,1.0
2008,500,0.002,114059.568,47.0,1.0,1.0
2008,500,0.002,109578.65639999999,50.0,1.0,6.0
2008,500,0.002,29787.878249999998,18.0,1.0,3.0
2008,500,0.002,53974.617,19.0,1.0,6.0
2008,500,0.002,104894.067,45.0,1.0,1.0
2008,500,0.002,40735.56,31.0,1.0,1.0
2008,500,0.002,73324.008,43.0,1.0,1.0
2008,500,0.002,50919.45,40.0,1.0,6.0
2008,500,0.002,118133.124,20.0,1.0,1.0
2008,500,0.002,71287.23,55.0,1.0,1.0
2008,500,0.002,57233.4618,67.0,1.0,1.0
2008,500,0.002,48353.10972,73.0,1.0,6.0
2008,500,0.002,60801.896856,74.0,1.0,6.0
2008,500,0.002,60095.13489,30.0,8.0,1.0
2008,500,0.002,133408.959,40.0,1.0,1.0
2008,500,0.002,76073.6583,41.0,1.0,6.0
2008,500,0.002,39819.0099,69.0,1.0,3.0
2008,500,0.002,447072.771,46.0,1.0,1.0
2008,500,0.002,109884.1731,25.0,1.0,1.0
2008,500,0.002,38698.782,52.0,1.0,1.0
