YEAR,dma_code,weight,HINCP
2007,500,0.002,125000.0
2007,500,0.002,92000.0
2007,500,0.002,17000.0
2007,500,0.002,47000.0
2007,500,0.002,86000.0
2007,500,0.002,32400.0
2007,500,0.002,117400.0
2007,500,0.002,63800.0
2007,500,0.002,57300.0
2007,500,0.002,45500.0
2007,500,0.002,28000.0
2007,500,0.002,47000.0
2007,500,0.002,47500.0
2007,500,0.002,48000.0
2007,500,0.002,69000.0
2007,500,0.002,36000.0
2007,500,0.002,33400.0
2007,500,0.002,150300.0
2007,500,0.002,19700.0
2007,500,0.002,80000.0
2007,500,0.002,54960.0
2007,500,0.002,124000.0
2007,500,0.002,109000.0
2007,500,0.002,33400.0
2007,500,0.002,69500.0
2007,500,0.002,52800.0
2007,500,0.002,6000.0
2007,500,0.002,40500.0
2007,500,0.002,52600.0
2007,500,0.002,142000.0
2007,500,0.002,12700.0
2007,500,0.002,30200.0
2007,500,0.002,16600.0
2007,500,0.002,38700.0
2007,500,0.002,29100.0
2007,500,0.002,59900.0
2007,500,0.002,59500.0
2007,500,0.002,32100.0
2007,500,0.002,22180.0
2007,500,0.002,46000.0
2007,500,0.002,42900.0
2007,500,0.002,25000.0
2007,500,0.002,70500.0
2007,500,0.002,85000.0
2007,500,0.002,146690.0
2007,500,0.002,11500.0
2007,500,0.002,112900.0
2007,500,0.002,152200.0
2007,500,0.002,30000.0
2007,500,0.002,26300.0
2007,500,0.002,53000.0
2007,500,0.002,62000.0
2007,500,0.002,47000.0
2007,500,0.002,30300.0
2007,500,0.002,120000.0
2007,500,0.002,38700.0
2007,500,0.002,321700.0
2007,500,0.002,32430.0
2007,500,0.002,88000.0
2007,500,0.002,26800.0
2007,500,0.002,44000.0
2007,500,0.002,55120.0
2007,500,0.002,79400.0
2007,500,0.002,45000.0
2007,500,0.002,234000.0
2007,500,0.002,103000.0
2007,500,0.002,44500.0
2007,500,0.002,48200.0
2007,500,0.002,105100.0
2007,500,0.002,34000.0
2007,500,0.002,60700.0
2007,500,0.002,370000.0
2007,500,0.002,65510.0
2007,500,0.002,7400.0
2007,500,0.002,40000.0
2007,500,0.002,24000.0
2007,500,0.002,35000.0
2007,500,0.002,11700.0
2007,500,0.002,40430.0
2007,500,0.002,32700.0
2007,500,0.002,100000.0
2007,500,0.002,57000.0
2007,500,0.002,204600.0
2007,500,0.002,108300.0
2007,500,0.002,62000.0
2007,500,0.002,58500.0
2007,500,0.002,55800.0
2007,500,0.002,37090.0
2007,500,0.002,35000.0
2007,500,0.002,123200.0
2007,500,0.002,57500.0
2007,500,0.002,35000.0
2007,500,0.002,61000.0
2007,500,0.002,143200.0
2007,501,0.002,8000.0
2007,501,0.002,24200.0
2007,501,0.002,29000.0
2007,501,0.002,145150.0
2007,501,0.002,82000.0
2007,501,0.002,41000.0
2007,501,0.002,20110.0
2007,501,0.002,119100.0
2007,501,0.002,540400.0
2007,501,0.002,252000.0
2007,501,0.002,19800.0
2007,501,0.002,4650.0
2007,501,0.002,132500.0
2007,501,0.002,13900.0
2007,501,0.002,81200.0
2007,501,0.002,147500.0
2007,501,0.002,158600.0
2007,501,0.002,19270.0
2007,501,0.002,135400.0
2007,501,0.002,32000.0
2007,501,0.002,65700.0
2007,501,0.002,62000.0
2007,501,0.002,92600.0
2007,501,0.002,39990.0
2007,501,0.002,32000.0
2007,501,0.002,58800.0
2007,501,0.002,130000.0
2007,501,0.002,230000.0
2007,501,0.002,45000.0
2007,501,0.002,120000.0
2007,501,0.002,115000.0
2007,501,0.002,95000.0
2007,501,0.002,26000.0
2007,501,0.002,42000.0
2007,501,0.002,62000.0
2007,501,0.002,78000.0
2007,501,0.002,77000.0
2007,501,0.002,40000.0
2007,501,0.002,9400.0
2007,501,0.002,36600.0
2007,501,0.002,256600.0
2007,501,0.002,173000.0
2007,501,0.002,174700.0
2007,501,0.002,47900.0
2007,501,0.002,37600.0
2007,501,0.002,48000.0
2007,501,0.002,7200.0
2007,501,0.002,112000.0
2007,501,0.002,182300.0
2007,501,0.002,13600.0
2007,501,0.002,797287.0
2007,501,0.002,92000.0
2007,501,0.002,19600.0
2007,501,0.002,85000.0
2007,501,0.002,104000.0
2007,501,0.002,170800.0
2007,501,0.002,206200.0
2007,501,0.002,34900.0
2007,501,0.002,40100.0
2007,501,0.002,33000.0
2007,501,0.002,110500.0
2007,501,0.002,13500.0
2007,501,0.002,9600.0
2007,501,0.002,137000.0
2007,501,0.002,126200.0
2007,501,0.002,52100.0
2007,501,0.002,29800.0
2007,501,0.002,22800.0
2007,501,0.002,4390.0
2007,501,0.002,42500.0
2007,501,0.002,7900.0
2007,501,0.002,148500.0
2007,501,0.002,43100.0
2007,501,0.002,79000.0
2007,501,0.002,198200.0
2007,501,0.002,20000.0
2007,501,0.002,145900.0
2007,501,0.002,45000.0
2007,501,0.002,45000.0
2007,501,0.002,148900.0
2007,501,0.002,38000.0
2007,501,0.002,95800.0
2007,501,0.002,48000.0
2007,501,0.002,44000.0
2007,501,0.002,60000.0
2007,501,0.002,32630.0
2007,501,0.002,96000.0
2007,501,0.002,10000.0
2007,501,0.002,129850.0
2007,501,0.002,37000.0
2007,501,0.002,41900.0
2007,501,0.002,30900.0
2007,501,0.002,120000.0
2007,501,0.002,35030.0
2007,501,0.002,7000.0
2007,501,0.002,27200.0
2007,501,0.002,10000.0
2007,501,0.002,612000.0
2007,501,0.002,40000.0
2007,501,0.002,11000.0
2007,501,0.002,0.0
2007,501,0.002,97000.0
2007,501,0.002,144500.0
2007,501,0.002,21000.0
2007,501,0.002,10400.0
2007,501,0.002,50000.0
2007,501,0.002,188600.0
2007,501,0.002,21300.0
2007,501,0.002,56090.0
2007,501,0.002,55100.0
2007,501,0.002,58000.0
2007,501,0.002,125830.0
2007,501,0.002,193000.0
2007,501,0.002,77500.0
2007,501,0.002,51200.0
2007,501,0.002,112830.0
2007,501,0.002,60200.0
2007,501,0.002,8600.0
2007,501,0.002,119000.0
2007,501,0.002,213950.0
2007,501,0.002,32500.0
2007,501,0.002,28600.0
2007,501,0.002,46000.0
2007,501,0.002,89400.0
2007,501,0.002,60000.0
2007,501,0.002,12700.0
2007,501,0.002,252300.0
2007,501,0.002,120000.0
2007,501,0.002,64200.0
2007,501,0.002,20600.0
2007,501,0.002,2400.0
2007,501,0.002,18000.0
2007,501,0.002,86400.0
2007,501,0.002,106000.0
2007,501,0.002,90500.0
2007,501,0.002,90000.0
2007,501,0.002,0.0
2007,501,0.002,60000.0
2007,501,0.002,34000.0
2007,501,0.002,73000.0
2007,501,0.002,100000.0
2007,501,0.002,67000.0
2007,501,0.002,105600.0
2007,501,0.002,69510.0
2007,501,0.002,117000.0
2007,501,0.002,83400.0
2007,501,0.002,112000.0
2007,501,0.002,137000.0
2007,501,0.002,77630.0
2007,501,0.002,50000.0
2007,501,0.002,28000.0
2007,501,0.002,55000.0
2007,501,0.002,118600.0
2007,501,0.002,148000.0
2007,501,0.002,30830.0
2007,501,0.002,34500.0
2007,501,0.002,15500.0
2007,501,0.002,12200.0
2007,501,0.002,10400.0
2007,501,0.002,13400.0
2007,501,0.002,100600.0
2007,501,0.002,120000.0
2007,501,0.002,107200.0
2007,501,0.002,100500.0
2007,501,0.002,231400.0
2007,501,0.002,75200.0
2007,501,0.002,102000.0
2007,501,0.002,151800.0
2007,501,0.002,181400.0
2007,501,0.002,64000.0
2007,501,0.002,47500.0
2007,501,0.002,61000.0
2007,501,0.002,65000.0
2007,501,0.002,35500.0
2007,501,0.002,85000.0
2007,501,0.002,30920.0
2007,501,0.002,27200.0
2007,501,0.002,64000.0
2007,501,0.002,62200.0
2007,501,0.002,135000.0
2007,501,0.002,152000.0
2007,501,0.002,198000.0
2007,501,0.002,106000.0
2007,501,0.002,82000.0
2007,501,0.002,72000.0
2007,501,0.002,56000.0
2007,501,0.002,781600.0
2007,501,0.002,8900.0
2007,501,0.002,58000.0
2007,501,0.002,126000.0
2007,501,0.002,217200.0
2007,501,0.002,89000.0
2007,501,0.002,532800.0
2007,501,0.002,105000.0
2007,501,0.002,95000.0
2007,501,0.002,110000.0
2007,501,0.002,161600.0
2007,501,0.002,318800.0
2007,501,0.002,33100.0
2007,501,0.002,205000.0
2007,501,0.002,46000.0
2007,501,0.002,85400.0
2007,501,0.002,26100.0
2007,501,0.002,47100.0
2007,501,0.002,30771.0
2007,501,0.002,80000.0
2007,501,0.002,246900.0
2007,501,0.002,28600.0
2007,501,0.002,35960.0
2007,501,0.002,27400.0
2007,501,0.002,132400.0
2007,501,0.002,9000.0
2007,501,0.002,36500.0
2007,501,0.002,36200.0
2007,501,0.002,72960.0
2007,501,0.002,60000.0
2007,501,0.002,75000.0
2007,501,0.002,15600.0
2007,501,0.002,124000.0
2007,501,0.002,129600.0
2007,501,0.002,42000.0
2007,501,0.002,33000.0
2007,501,0.002,81000.0
2007,501,0.002,5900.0
2007,501,0.002,13500.0
2007,501,0.002,59200.0
2007,501,0.002,1000.0
2007,501,0.002,7500.0
2007,501,0.002,32000.0
2007,501,0.002,8500.0
2007,501,0.002,22800.0
2007,501,0.002,22100.0
2007,501,0.002,75000.0
2007,501,0.002,11700.0
2007,501,0.002,17200.0
2007,501,0.002,13000.0
2007,501,0.002,100000.0
2007,501,0.002,67800.0
2007,501,0.002,61000.0
2007,501,0.002,13600.0
2007,501,0.002,61500.0
2007,501,0.002,66200.0
2007,501,0.002,192680.0
2007,501,0.002,12300.0
2007,501,0.002,0.0
2007,501,0.002,33500.0
2007,501,0.002,68100.0
2007,501,0.002,532000.0
2007,501,0.002,34600.0
2007,501,0.002,20000.0
2007,501,0.002,260000.0
2007,501,0.002,12000.0
2007,501,0.002,78000.0
2007,501,0.002,45000.0
2007,501,0.002,150800.0
2007,501,0.002,168000.0
2007,501,0.002,78500.0
2007,501,0.002,29600.0
2007,501,0.002,52000.0
2007,501,0.002,40000.0
2007,501,0.002,137000.0
2007,501,0.002,125200.0
2007,501,0.002,48700.0
2007,501,0.002,23200.0
2007,501,0.002,26700.0
2007,501,0.002,118000.0
2007,501,0.002,12900.0
2007,501,0.002,54000.0
2007,501,0.002,101100.0
2007,501,0.002,81000.0
2007,501,0.002,54130.0
2007,501,0.002,100000.0
2007,501,0.002,21800.0
2007,501,0.002,22000.0
2007,501,0.002,188620.0
