YEAR,dma_code,weight,hhmember,HINCP,AGEP,RAC1P
2009,504,0.01,3,136000.0,58.0,6.0
2009,504,0.01,2,183000.0,40.0,1.0
2009,504,0.01,2,279000.0,64.0,1.0
2009,504,0.01,2,248000.0,51.0,1.0
2009,504,0.01,3,240300.0,56.0,1.0
2009,504,0.01,4,80000.0,47.0,1.0
2009,504,0.01,5,123300.0,53.0,1.0
2009,504,0.01,3,64004.0,57.0,1.0
2009,504,0.01,3,127700.0,66.0,1.0
2009,504,0.01,2,9500.0,72.0,1.0
2009,504,0.01,2,56000.0,38.0,1.0
2009,504,0.01,2,106000.0,50.0,1.0
2009,504,0.01,4,33250.0,47.0,1.0
2009,504,0.01,2,71000.0,26.0,1.0
2009,504,0.01,1,28000.0,70.0,1.0
2009,504,0.01,1,142000.0,74.0,1.0
2009,504,0.01,3,95600.0,34.0,1.0
2009,504,0.01,2,55000.0,21.0,1.0
2009,504,0.01,3,13850.0,18.0,1.0
2009,504,0.01,2,63000.0,43.0,1.0
2009,504,0.01,2,125000.0,42.0,2.0
2009,504,0.01,2,162750.0,63.0,1.0
2009,504,0.01,2,110030.0,41.0,1.0
2009,504,0.01,3,115700.0,53.0,1.0
2009,504,0.01,1,33000.0,38.0,1.0
2009,504,0.01,1,32000.0,62.0,2.0
2009,504,0.01,2,105000.0,36.0,1.0
2009,504,0.01,2,252000.0,56.0,1.0
2009,504,0.01,3,128000.0,54.0,1.0
2009,504,0.01,4,107600.0,66.0,8.0
2009,504,0.01,2,88000.0,35.0,1.0
2009,504,0.01,2,96800.0,57.0,1.0
2009,504,0.01,3,194000.0,40.0,2.0
2009,504,0.01,2,99750.0,63.0,1.0
2009,504,0.01,5,24400.0,43.0,1.0
2009,504,0.01,2,400.0,20.0,9.0
2009,504,0.01,1,33200.0,73.0,1.0
2009,504,0.01,2,36000.0,84.0,1.0
2009,504,0.01,2,92000.0,45.0,1.0
2009,504,0.01,2,43500.0,62.0,1.0
2009,504,0.01,2,55900.0,78.0,1.0
2009,504,0.01,2,480000.0,60.0,1.0
2009,504,0.01,2,130000.0,47.0,1.0
2009,504,0.01,1,33500.0,87.0,1.0
2009,504,0.01,2,130000.0,40.0,1.0
2009,504,0.01,5,82240.0,55.0,1.0
2009,504,0.01,3,57400.0,22.0,1.0
2009,504,0.01,1,20700.0,87.0,1.0
2009,504,0.01,2,56810.0,62.0,1.0
2009,504,0.01,3,125000.0,56.0,6.0
2009,504,0.01,2,243000.0,40.0,1.0
2009,504,0.01,1,13800.0,67.0,1.0
2009,504,0.01,1,48000.0,34.0,1.0
2009,504,0.01,3,61200.0,45.0,1.0
2009,504,0.01,2,110000.0,41.0,1.0
2009,504,0.01,3,103200.0,48.0,1.0
2009,504,0.01,3,79700.0,38.0,8.0
2009,504,0.01,3,102000.0,54.0,6.0
2009,504,0.01,2,237140.0,42.0,1.0
2009,504,0.01,2,84100.0,39.0,1.0
2009,504,0.01,2,85500.0,28.0,1.0
2009,504,0.01,3,81100.0,44.0,2.0
2009,504,0.01,2,71450.0,45.0,1.0
2009,504,0.01,1,47300.0,78.0,1.0
2009,504,0.01,2,56800.0,26.0,1.0
2009,504,0.01,2,8800.0,84.0,1.0
2009,504,0.01,2,144000.0,30.0,1.0
2009,504,0.01,2,100000.0,36.0,1.0
2009,504,0.01,1,12000.0,93.0,1.0
2009,504,0.01,3,59500.0,38.0,1.0
2009,504,0.01,2,77200.0,43.0,1.0
2009,504,0.01,2,223300.0,76.0,1.0
2009,504,0.01,4,50000.0,49.0,1.0
2009,504,0.01,3,128800.0,38.0,1.0
2009,504,0.01,2,265000.0,53.0,1.0
2009,504,0.01,1,57000.0,38.0,1.0
2009,504,0.01,2,24300.0,48.0,2.0
2009,504,0.01,3,63400.0,56.0,1.0
2009,504,0.01,1,25000.0,80.0,1.0
2009,504,0.01,2,54400.0,67.0,1.0
2009,504,0.01,2,70100.0,37.0,2.0
2009,504,0.01,1,73000.0,55.0,1.0
2009,504,0.01,1,18700.0,32.0,1.0
2009,504,0.01,2,106200.0,61.0,1.0
2009,504,0.01,2,26000.0,54.0,1.0
2009,505,0.01,2,35604.0,60.0,1.0
2009,505,0.01,2,53500.0,72.0,1.0
2009,505,0.01,2,37100.0,71.0,1.0
2009,505,0.01,2,0.0,32.0,1.0
2009,505,0.01,1,56520.0,53.0,1.0
2009,505,0.01,3,84600.0,60.0,1.0
2009,505,0.01,2,115400.0,61.0,1.0
2009,505,0.01,3,99000.0,48.0,1.0
2009,505,0.01,2,118000.0,56.0,1.0
2009,505,0.01,2,31400.0,71.0,6.0
2009,505,0.01,2,53000.0,51.0,1.0
2009,505,0.01,2,63300.0,73.0,1.0
2009,505,0.01,2,79100.0,38.0,1.0
2009,505,0.01,1,28000.0,26.0,1.0
2009,505,0.01,2,50050.0,42.0,1.0
2009,505,0.01,2,29800.0,50.0,1.0
2009,505,0.01,2,78000.0,57.0,1.0
2009,505,0.01,4,66000.0,19.0,1.0
2009,505,0.01,2,30570.0,38.0,1.0
2009,505,0.01,2,71900.0,28.0,2.0
2009,505,0.01,2,76300.0,51.0,2.0
2009,505,0.01,2,31000.0,82.0,1.0
2009,505,0.01,2,4000.0,81.0,1.0
2009,505,0.01,2,30880.0,69.0,1.0
2009,505,0.01,2,42000.0,27.0,1.0
2009,505,0.01,3,184000.0,25.0,6.0
2009,505,0.01,3,118400.0,57.0,1.0
2009,505,0.01,2,138000.0,40.0,6.0
2009,505,0.01,2,25200.0,30.0,1.0
2009,505,0.01,1,28000.0,26.0,1.0
2009,505,0.01,2,70000.0,54.0,2.0
2009,505,0.01,2,150000.0,36.0,1.0
2009,505,0.01,3,19600.0,58.0,2.0
2009,505,0.01,2,23000.0,20.0,2.0
2009,505,0.01,3,240700.0,49.0,1.0
2009,505,0.01,3,49300.0,20.0,1.0
2009,505,0.01,2,93000.0,44.0,1.0
2009,505,0.01,2,108370.0,39.0,1.0
2009,505,0.01,3,97500.0,20.0,1.0
2009,505,0.01,3,15300.0,52.0,2.0
2009,505,0.01,2,25900.0,72.0,9.0
2009,505,0.01,3,80500.0,22.0,2.0
2009,505,0.01,1,57100.0,74.0,1.0
2009,505,0.01,2,135000.0,31.0,1.0
2009,505,0.01,2,40300.0,49.0,1.0
2009,505,0.01,2,40020.0,49.0,1.0
2009,505,0.01,2,83000.0,63.0,1.0
2009,505,0.01,1,29200.0,84.0,1.0
2009,505,0.01,1,37200.0,71.0,1.0
2009,505,0.01,3,48164.0,20.0,1.0
2009,505,0.01,4,128200.0,41.0,6.0
2009,505,0.01,2,74200.0,72.0,1.0
2009,505,0.01,2,63000.0,37.0,1.0
2009,505,0.01,10,81474.0,18.0,1.0
2009,505,0.01,3,47900.0,59.0,2.0
2009,505,0.01,3,104150.0,40.0,1.0
2009,505,0.01,1,20400.0,47.0,2.0
2009,505,0.01,3,52000.0,19.0,1.0
2009,505,0.01,2,125620.0,65.0,1.0
2009,505,0.01,1,19500.0,37.0,1.0
2009,505,0.01,1,52200.0,54.0,1.0
2009,505,0.01,5,53300.0,70.0,1.0
2009,505,0.01,3,97400.0,80.0,1.0
2009,505,0.01,2,95000.0,58.0,1.0
2009,505,0.01,2,101000.0,41.0,1.0
2009,505,0.01,2,21000.0,20.0,1.0
2009,505,0.01,5,132500.0,50.0,1.0
2009,505,0.01,1,154700.0,63.0,2.0
2009,505,0.01,5,93500.0,30.0,2.0
2009,505,0.01,4,79200.0,49.0,1.0
2009,505,0.01,2,190400.0,67.0,1.0
2009,505,0.01,1,26400.0,86.0,1.0
2009,505,0.01,2,56420.0,67.0,1.0
2009,505,0.01,2,34750.0,68.0,1.0
2009,505,0.01,3,39900.0,45.0,1.0
2009,505,0.01,1,90000.0,52.0,1.0
2009,505,0.01,1,33000.0,70.0,1.0
