store_code_uc,year,parent_code,retailer_code,channel_code,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,dma_code,dma_descr
1239592,2012,6904,6904,M,38.0,33.0,NH,15.0,ROCKINGHAM,506.0,BOSTON (MANCHESTER) MA-NH
1239766,2012,117,117,F,512.0,19.0,IA,141.0,O BRIEN,624.0,SIOUX CITY IA
1239774,2012,5851,5851,M,146.0,36.0,NY,55.0,MONROE,538.0,ROCHESTER NY
1239823,2012,6901,6901,M,752.0,48.0,TX,113.0,DALLAS,623.0,DALLAS-FT WORTH TX
1239950,2012,34,34,F,18.0,25.0,MA,17.0,MIDDLESEX,506.0,BOSTON (MANCHESTER) MA-NH
1239995,2012,6904,6904,M,838.0,16.0,ID,55.0,KOOTENAI,881.0,SPOKANE WA
1240015,2012,5851,5851,M,300.0,13.0,GA,135.0,GWINNETT,524.0,ATLANTA GA
1240190,2012,4901,4901,D,100.0,36.0,NY,61.0,NEW YORK,501.0,NEW YORK NY
1240647,2012,4901,4901,D,435.0,39.0,OH,171.0,WILLIAMS,547.0,TOLEDO OH
1240693,2012,34,34,F,38.0,33.0,NH,15.0,ROCKINGHAM,506.0,BOSTON (MANCHESTER) MA-NH
1240724,2012,257,257,F,305.0,13.0,GA,257.0,STEPHENS,567.0,GREENVILLE-SPARTANBURG SC-ASHEVILLE NC
1240801,2012,6904,6904,M,38.0,33.0,NH,17.0,STRAFFORD,506.0,BOSTON (MANCHESTER) MA-NH
1240996,2012,4901,4901,D,100.0,36.0,NY,61.0,NEW YORK,501.0,NEW YORK NY
1241032,2012,6901,6901,M,782.0,48.0,TX,29.0,BEXAR,641.0,SAN ANTONIO TX
1241607,2012,6904,6904,M,469.0,18.0,IN,67.0,HOWARD,527.0,INDIANAPOLIS IN
1241933,2012,257,257,F,286.0,37.0,NC,23.0,BURKE,517.0,CHARLOTTE NC
1241988,2012,4904,4904,D,70.0,34.0,NJ,31.0,PASSAIC,501.0,NEW YORK NY
1242046,2012,8106,8106,C,26.0,25.0,MA,1.0,BARNSTABLE,506.0,BOSTON (MANCHESTER) MA-NH
1242192,2012,5851,5851,M,481.0,26.0,MI,163.0,WAYNE,505.0,DETROIT MI
1242250,2012,5917,5917,C,503.0,19.0,IA,153.0,POLK,679.0,DES MOINES-AMES IA
1242413,2012,6904,6904,M,982.0,53.0,WA,61.0,SNOHOMISH,819.0,SEATTLE-TACOMA WA
1242459,2012,257,257,F,296.0,45.0,SC,77.0,PICKENS,567.0,GREENVILLE-SPARTANBURG SC-ASHEVILLE NC
1242640,2012,8199,8199,C,306.0,13.0,GA,211.0,MORGAN,524.0,ATLANTA GA
1242739,2012,257,257,F,287.0,37.0,NC,75.0,GRAHAM,567.0,GREENVILLE-SPARTANBURG SC-ASHEVILLE NC
1243047,2012,6901,6901,M,759.0,48.0,TX,5.0,ANGELINA,709.0,TYLER-LONGVIEW (LUFKIN & NACOGDOCHES) TX
1243056,2012,5917,5917,C,502.0,19.0,IA,153.0,POLK,679.0,DES MOINES-AMES IA
1243582,2012,158,158,F,970.0,41.0,OR,5.0,CLACKAMAS,820.0,PORTLAND OR
1243817,2012,4901,4901,D,70.0,34.0,NJ,39.0,UNION,501.0,NEW YORK NY
1243889,2012,182,182,F,981.0,53.0,WA,33.0,KING,819.0,SEATTLE-TACOMA WA
1244016,2012,839,839,F,174.0,42.0,PA,133.0,YORK,566.0,HARRISBURG-LANCASTER-LEBANON-YORK PA
1244025,2012,6904,6904,M,67.0,9.0,CT,5.0,LITCHFIELD,533.0,HARTFORD & NEW HAVEN CT
1244207,2012,4904,4926,D,113.0,36.0,NY,81.0,QUEENS,501.0,NEW YORK NY
1244406,2012,90,90,F,212.0,24.0,MD,5.0,BALTIMORE,512.0,BALTIMORE MD
1244464,2012,8106,8106,C,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1244831,2012,6904,6904,M,471.0,18.0,IN,43.0,FLOYD,529.0,LOUISVILLE KY
1244944,2012,8106,8106,C,327.0,12.0,FL,69.0,LAKE,534.0,ORLANDO-DAYTONA BEACH-MELBOURNE FL
1245098,2012,32,32,F,981.0,53.0,WA,33.0,KING,819.0,SEATTLE-TACOMA WA
1245234,2012,6904,6904,M,985.0,53.0,WA,41.0,LEWIS,819.0,SEATTLE-TACOMA WA
1245673,2012,8106,8106,C,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1246235,2012,4901,4901,D,70.0,34.0,NJ,13.0,ESSEX,501.0,NEW YORK NY
1246240,2012,248,248,F,334.0,12.0,FL,99.0,PALM BEACH,548.0,WEST PALM BEACH-FT PIERCE FL
1246289,2012,5851,5851,M,751.0,48.0,TX,113.0,DALLAS,623.0,DALLAS-FT WORTH TX
1246366,2012,257,257,F,287.0,37.0,NC,113.0,MACON,567.0,GREENVILLE-SPARTANBURG SC-ASHEVILLE NC
1246479,2012,8106,8106,C,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1246964,2012,9,9,F,917.0,6.0,CA,37.0,LOS ANGELES,803.0,LOS ANGELES CA
1247249,2012,6904,6904,M,460.0,18.0,IN,95.0,MADISON,527.0,INDIANAPOLIS IN
1247285,2012,8106,8106,C,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1247295,2012,4904,4904,D,21.0,25.0,MA,25.0,SUFFOLK,506.0,BOSTON (MANCHESTER) MA-NH
1247688,2012,34,34,F,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1247699,2012,4904,4904,D,936.0,6.0,CA,19.0,FRESNO,866.0,FRESNO-VISALIA CA
1248033,2012,36,36,F,766.0,48.0,TX,217.0,HILL,623.0,DALLAS-FT WORTH TX
1248091,2012,8106,8106,C,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
