,upc,dma_code,year,month
9468,1380014660,757.0,2012,9
10196,1380014660,762.0,2012,9
10924,1380014660,555.0,2012,9
11652,1380014660,724.0,2012,9
12380,1380014660,771.0,2012,9
13108,1380014660,566.0,2012,9
13836,1380014660,758.0,2012,9
14564,1380014660,800.0,2012,9
15292,1380014660,522.0,2012,9
16020,1380014660,559.0,2012,9
16748,1380014660,807.0,2012,9
17476,1380014660,602.0,2012,9
18204,1380014660,501.0,2012,9
18932,1380014660,819.0,2012,9
19660,1380014660,623.0,2012,9
20388,1380014660,511.0,2012,9
21116,1380014660,828.0,2012,9
21844,1380014660,652.0,2012,9
22572,1380014660,518.0,2012,9
23300,1380014660,866.0,2012,9
24028,1380014660,710.0,2012,9
24756,1380014660,526.0,2012,9
25484,1380014660,507.0,2012,9
26212,1380014660,740.0,2012,9
26940,1380014660,534.0,2012,9
27668,1380014660,658.0,2012,9
28396,1380014660,753.0,2012,9
29124,1380014660,544.0,2012,9
29852,1380014660,770.0,2012,9
30580,1380014660,764.0,2012,9
31308,1380014660,556.0,2012,9
32036,1380014660,611.0,2012,9
32764,1380014660,773.0,2012,9
33492,1380014660,571.0,2012,9
34220,1380014660,531.0,2012,9
34948,1380014660,801.0,2012,9
35676,1380014660,525.0,2012,9
36404,1380014660,573.0,2012,9
37132,1380014660,810.0,2012,9
37860,1380014660,606.0,2012,9
38588,1380014660,504.0,2012,9
39316,1380014660,820.0,2012,9
40044,1380014660,630.0,2012,9
40772,1380014660,512.0,2012,9
41500,1380014660,839.0,2012,9
42228,1380014660,656.0,2012,9
42956,1380014660,521.0,2012,9
43684,1380014660,868.0,2012,9
44412,1380014660,711.0,2012,9
45140,1380014660,528.0,2012,9
45868,1380014660,564.0,2012,9
46596,1380014660,746.0,2012,9
47324,1380014660,538.0,2012,9
48052,1380014660,705.0,2012,9
48780,1380014660,754.0,2012,9
49508,1380014660,548.0,2012,9
50236,1380014660,676.0,2012,9
50964,1380014660,766.0,2012,9
51692,1380014660,560.0,2012,9
52420,1380014660,509.0,2012,9
53148,1380014660,789.0,2012,9
53876,1380014660,576.0,2012,9
54604,1380014660,557.0,2012,9
55332,1380014660,802.0,2012,9
56060,1380014660,530.0,2012,9
56788,1380014660,537.0,2012,9
57516,1380014660,811.0,2012,9
58244,1380014660,618.0,2012,9
58972,1380014660,506.0,2012,9
59700,1380014660,821.0,2012,9
60428,1380014660,635.0,2012,9
61156,1380014660,514.0,2012,9
61884,1380014660,855.0,2012,9
62612,1380014660,686.0,2012,9
63340,1380014660,523.0,2012,9
64068,1380014660,881.0,2012,9
64796,1380014660,716.0,2012,9
65524,1380014660,532.0,2012,9
66252,1380014660,613.0,2012,9
66980,1380014660,751.0,2012,9
67708,1380014660,539.0,2012,9
68436,1380014660,755.0,2012,9
69164,1380014660,759.0,2012,9
69892,1380014660,549.0,2012,9
70620,1380014660,737.0,2012,9
71348,1380014660,767.0,2012,9
72076,1380014660,561.0,2012,9
72804,1380014660,669.0,2012,9
73532,1380014660,790.0,2012,9
74260,1380014660,577.0,2012,9
74988,1380014660,541.0,2012,9
75716,1380014660,803.0,2012,9
76444,1380014660,592.0,2012,9
77172,1380014660,500.0,2012,9
77900,1380014660,813.0,2012,9
78628,1380014660,622.0,2012,9
5,1380014660,511.0,2012,10
733,1380014660,828.0,2012,10
1461,1380014660,652.0,2012,10
2189,1380014660,518.0,2012,10
2917,1380014660,866.0,2012,10
3645,1380014660,710.0,2012,10
4373,1380014660,526.0,2012,10
5101,1380014660,507.0,2012,10
5829,1380014660,740.0,2012,10
6557,1380014660,534.0,2012,10
7285,1380014660,658.0,2012,10
8013,1380014660,753.0,2012,10
8741,1380014660,544.0,2012,10
9469,1380014660,770.0,2012,10
10197,1380014660,764.0,2012,10
10925,1380014660,556.0,2012,10
11653,1380014660,611.0,2012,10
12381,1380014660,773.0,2012,10
13109,1380014660,571.0,2012,10
13837,1380014660,531.0,2012,10
14565,1380014660,801.0,2012,10
15293,1380014660,525.0,2012,10
16021,1380014660,573.0,2012,10
16749,1380014660,810.0,2012,10
17477,1380014660,606.0,2012,10
18205,1380014660,504.0,2012,10
18933,1380014660,820.0,2012,10
19661,1380014660,630.0,2012,10
20389,1380014660,512.0,2012,10
21117,1380014660,839.0,2012,10
21845,1380014660,656.0,2012,10
22573,1380014660,521.0,2012,10
23301,1380014660,868.0,2012,10
24029,1380014660,711.0,2012,10
24757,1380014660,528.0,2012,10
25485,1380014660,564.0,2012,10
26213,1380014660,746.0,2012,10
26941,1380014660,538.0,2012,10
27669,1380014660,705.0,2012,10
28397,1380014660,754.0,2012,10
29125,1380014660,548.0,2012,10
29853,1380014660,676.0,2012,10
30581,1380014660,766.0,2012,10
31309,1380014660,560.0,2012,10
32037,1380014660,509.0,2012,10
32765,1380014660,789.0,2012,10
33493,1380014660,576.0,2012,10
34221,1380014660,557.0,2012,10
34949,1380014660,802.0,2012,10
35677,1380014660,530.0,2012,10
36405,1380014660,537.0,2012,10
37133,1380014660,811.0,2012,10
37861,1380014660,618.0,2012,10
38589,1380014660,506.0,2012,10
39317,1380014660,821.0,2012,10
40045,1380014660,635.0,2012,10
40773,1380014660,514.0,2012,10
41501,1380014660,855.0,2012,10
42229,1380014660,686.0,2012,10
42957,1380014660,523.0,2012,10
43685,1380014660,881.0,2012,10
44413,1380014660,716.0,2012,10
45141,1380014660,532.0,2012,10
45869,1380014660,613.0,2012,10
46597,1380014660,751.0,2012,10
47325,1380014660,539.0,2012,10
48053,1380014660,755.0,2012,10
48781,1380014660,759.0,2012,10
49509,1380014660,549.0,2012,10
50237,1380014660,737.0,2012,10
50965,1380014660,767.0,2012,10
51693,1380014660,561.0,2012,10
52421,1380014660,669.0,2012,10
53149,1380014660,790.0,2012,10
53877,1380014660,577.0,2012,10
54605,1380014660,541.0,2012,10
55333,1380014660,803.0,2012,10
56061,1380014660,592.0,2012,10
56789,1380014660,500.0,2012,10
57517,1380014660,813.0,2012,10
58245,1380014660,622.0,2012,10
58973,1380014660,510.0,2012,10
59701,1380014660,825.0,2012,10
60429,1380014660,642.0,2012,10
61157,1380014660,517.0,2012,10
61885,1380014660,862.0,2012,10
62613,1380014660,698.0,2012,10
63341,1380014660,524.0,2012,10
64069,1380014660,503.0,2012,10
64797,1380014660,722.0,2012,10
65525,1380014660,533.0,2012,10
66253,1380014660,617.0,2012,10
66981,1380014660,752.0,2012,10
67709,1380014660,543.0,2012,10
68437,1380014660,757.0,2012,10
69165,1380014660,762.0,2012,10
69893,1380014660,555.0,2012,10
70621,1380014660,724.0,2012,10
71349,1380014660,771.0,2012,10
72077,1380014660,566.0,2012,10
72805,1380014660,758.0,2012,10
73533,1380014660,800.0,2012,10
74261,1380014660,522.0,2012,10
74989,1380014660,559.0,2012,10
75717,1380014660,807.0,2012,10
76445,1380014660,602.0,2012,10
77173,1380014660,501.0,2012,10
77901,1380014660,819.0,2012,10
78629,1380014660,623.0,2012,10
6,1380014660,512.0,2012,11
734,1380014660,839.0,2012,11
1462,1380014660,656.0,2012,11
2190,1380014660,521.0,2012,11
2918,1380014660,868.0,2012,11
3646,1380014660,711.0,2012,11
4374,1380014660,528.0,2012,11
5102,1380014660,564.0,2012,11
5830,1380014660,746.0,2012,11
6558,1380014660,538.0,2012,11
7286,1380014660,705.0,2012,11
8014,1380014660,754.0,2012,11
8742,1380014660,548.0,2012,11
9470,1380014660,676.0,2012,11
10198,1380014660,766.0,2012,11
10926,1380014660,560.0,2012,11
11654,1380014660,509.0,2012,11
12382,1380014660,789.0,2012,11
13110,1380014660,576.0,2012,11
13838,1380014660,557.0,2012,11
14566,1380014660,802.0,2012,11
15294,1380014660,530.0,2012,11
16022,1380014660,537.0,2012,11
16750,1380014660,811.0,2012,11
17478,1380014660,618.0,2012,11
18206,1380014660,506.0,2012,11
18934,1380014660,821.0,2012,11
19662,1380014660,635.0,2012,11
20390,1380014660,514.0,2012,11
21118,1380014660,855.0,2012,11
21846,1380014660,686.0,2012,11
22574,1380014660,523.0,2012,11
23302,1380014660,881.0,2012,11
24030,1380014660,716.0,2012,11
24758,1380014660,532.0,2012,11
25486,1380014660,613.0,2012,11
26214,1380014660,751.0,2012,11
26942,1380014660,539.0,2012,11
27670,1380014660,755.0,2012,11
28398,1380014660,759.0,2012,11
29126,1380014660,549.0,2012,11
29854,1380014660,737.0,2012,11
30582,1380014660,767.0,2012,11
31310,1380014660,561.0,2012,11
32038,1380014660,669.0,2012,11
32766,1380014660,790.0,2012,11
33494,1380014660,577.0,2012,11
34222,1380014660,541.0,2012,11
34950,1380014660,803.0,2012,11
35678,1380014660,592.0,2012,11
36406,1380014660,500.0,2012,11
37134,1380014660,813.0,2012,11
37862,1380014660,622.0,2012,11
38590,1380014660,510.0,2012,11
39318,1380014660,825.0,2012,11
40046,1380014660,642.0,2012,11
40774,1380014660,517.0,2012,11
41502,1380014660,862.0,2012,11
42230,1380014660,698.0,2012,11
42958,1380014660,524.0,2012,11
43686,1380014660,503.0,2012,11
44414,1380014660,722.0,2012,11
45142,1380014660,533.0,2012,11
45870,1380014660,617.0,2012,11
46598,1380014660,752.0,2012,11
47326,1380014660,543.0,2012,11
48054,1380014660,757.0,2012,11
48782,1380014660,762.0,2012,11
49510,1380014660,555.0,2012,11
50238,1380014660,724.0,2012,11
50966,1380014660,771.0,2012,11
51694,1380014660,566.0,2012,11
52422,1380014660,758.0,2012,11
53150,1380014660,800.0,2012,11
53878,1380014660,522.0,2012,11
54606,1380014660,559.0,2012,11
55334,1380014660,807.0,2012,11
56062,1380014660,602.0,2012,11
56790,1380014660,501.0,2012,11
57518,1380014660,819.0,2012,11
58246,1380014660,623.0,2012,11
58974,1380014660,511.0,2012,11
59702,1380014660,828.0,2012,11
60430,1380014660,652.0,2012,11
61158,1380014660,518.0,2012,11
61886,1380014660,866.0,2012,11
62614,1380014660,710.0,2012,11
63342,1380014660,526.0,2012,11
64070,1380014660,507.0,2012,11
64798,1380014660,740.0,2012,11
65526,1380014660,534.0,2012,11
66254,1380014660,658.0,2012,11
66982,1380014660,753.0,2012,11
67710,1380014660,544.0,2012,11
68438,1380014660,770.0,2012,11
69166,1380014660,764.0,2012,11
69894,1380014660,556.0,2012,11
70622,1380014660,611.0,2012,11
71350,1380014660,773.0,2012,11
72078,1380014660,571.0,2012,11
72806,1380014660,531.0,2012,11
73534,1380014660,801.0,2012,11
74262,1380014660,525.0,2012,11
74990,1380014660,573.0,2012,11
75718,1380014660,810.0,2012,11
76446,1380014660,606.0,2012,11
77174,1380014660,504.0,2012,11
77902,1380014660,820.0,2012,11
78630,1380014660,630.0,2012,11
7,1380014660,514.0,2012,12
735,1380014660,855.0,2012,12
1463,1380014660,686.0,2012,12
2191,1380014660,523.0,2012,12
2919,1380014660,881.0,2012,12
3647,1380014660,716.0,2012,12
4375,1380014660,532.0,2012,12
5103,1380014660,613.0,2012,12
5831,1380014660,751.0,2012,12
6559,1380014660,539.0,2012,12
7287,1380014660,755.0,2012,12
8015,1380014660,759.0,2012,12
8743,1380014660,549.0,2012,12
9471,1380014660,737.0,2012,12
10199,1380014660,767.0,2012,12
10927,1380014660,561.0,2012,12
11655,1380014660,669.0,2012,12
12383,1380014660,790.0,2012,12
13111,1380014660,577.0,2012,12
13839,1380014660,541.0,2012,12
14567,1380014660,803.0,2012,12
15295,1380014660,592.0,2012,12
16023,1380014660,500.0,2012,12
16751,1380014660,813.0,2012,12
17479,1380014660,622.0,2012,12
18207,1380014660,510.0,2012,12
18935,1380014660,825.0,2012,12
19663,1380014660,642.0,2012,12
20391,1380014660,517.0,2012,12
21119,1380014660,862.0,2012,12
21847,1380014660,698.0,2012,12
22575,1380014660,524.0,2012,12
23303,1380014660,503.0,2012,12
24031,1380014660,722.0,2012,12
24759,1380014660,533.0,2012,12
25487,1380014660,617.0,2012,12
26215,1380014660,752.0,2012,12
26943,1380014660,543.0,2012,12
27671,1380014660,757.0,2012,12
28399,1380014660,762.0,2012,12
29127,1380014660,555.0,2012,12
29855,1380014660,724.0,2012,12
30583,1380014660,771.0,2012,12
31311,1380014660,566.0,2012,12
32039,1380014660,758.0,2012,12
32767,1380014660,800.0,2012,12
33495,1380014660,522.0,2012,12
34223,1380014660,559.0,2012,12
34951,1380014660,807.0,2012,12
35679,1380014660,602.0,2012,12
36407,1380014660,501.0,2012,12
37135,1380014660,819.0,2012,12
37863,1380014660,623.0,2012,12
38591,1380014660,511.0,2012,12
39319,1380014660,828.0,2012,12
40047,1380014660,652.0,2012,12
40775,1380014660,518.0,2012,12
41503,1380014660,866.0,2012,12
