,owner initial,2007,2008,owner last,,,,,
KIDSMANIA DUBBLE BUBBLE B,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
OFFICE PLEASURES C,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
RAZZLES C,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,Tootsie Roll Industries,,,,,
TOPPS B,Topps,Topps,Topps,Topps,,,,,
TOPPS BAZOOKA B,Topps,Topps,Topps,Topps,,,,,
TOPPS BAZOOKA BS,Topps,Topps,Topps,Topps,,,,,
TOPPS BAZOOKA BUBBLE JUICE B,Topps,Topps,Topps,Topps,,,,,
TOPPS BUBBLE JUICE B,Topps,Topps,Topps,Topps,,,,,
TOPPS BUBBLE JUICE BRKN HRTS B,Topps,Topps,Topps,Topps,,,,,
TOPPS C,Topps,Topps,Topps,Topps,,,,,
TOPPS HERITAGE B,Topps,Topps,Topps,Topps,,,,,
TOPPS HERITAGE BS,Topps,Topps,Topps,Topps,,,,,
TOPPS WACKY PACKAGES B,Topps,Topps,Topps,Topps,,,,,
TOPPS WACKY PACKAGES BS,Topps,Topps,Topps,Topps,,,,,
BLOOD BALLS B,unknown,unknown,unknown,unknown,,,,,
BUBBLE BABIES B,unknown,unknown,unknown,unknown,,,,,
BUBBLE BOOST BS,unknown,unknown,unknown,unknown,,,,,
CHICLEBYTES C,unknown,unknown,unknown,unknown,,,,,
COLLEGIATE WORLDWIDE-NBL CS,unknown,unknown,unknown,unknown,,,,,
CONCORD BAG O' BUBBLES B,unknown,unknown,unknown,unknown,,,,,
CRANBERRY CS,unknown,unknown,unknown,unknown,,,,,
CVP B,unknown,unknown,unknown,unknown,,,,,
DENTA FRESH CS,unknown,unknown,unknown,unknown,,,,,
EGG STREME B,unknown,unknown,unknown,unknown,,,,,
FRANKS B,unknown,unknown,unknown,unknown,,,,,
FRESH BLAST CS,unknown,unknown,unknown,unknown,,,,,
GENERIC B,unknown,unknown,unknown,unknown,,,,,
GLOBAL BRANDS B,unknown,unknown,unknown,unknown,,,,,
H & S CANDIES B,unknown,unknown,unknown,unknown,,,,,
HOP'N DROP B,unknown,unknown,unknown,unknown,,,,,
HOUSTON HARVEST GFT PROD-NBL B,unknown,unknown,unknown,unknown,,,,,
ICY BREEZE CS,unknown,unknown,unknown,unknown,,,,,
JL MANUFACTURING-NBL B,unknown,unknown,unknown,unknown,,,,,
JUST FOR FUN BUBBLE ROLLER B,unknown,unknown,unknown,unknown,,,,,
KID GUMBALL B,unknown,unknown,unknown,unknown,,,,,
KID'S BRANDS BUBBLE RUBBLE B,unknown,unknown,unknown,unknown,,,,,
MAXIM MARKETING CORPORTN-NBL B,unknown,unknown,unknown,unknown,,,,,
