EGG & BUNNY	2534
BEARS & HEARTS	344
MINNOW	12
CHICK & BUNNY	631
BUGS & GRUBS	119
B&S	582
CANE & FIGURE	394
SNOWMAN & CHRISTMAS TREE	336
BASKETBALL & LIQUID	12
HEART & FLOWER	717
WAX LIP	835
BRACELET & NECKLACE	975
SANTA & REINDEER	37
CRITTER	3
XS & OS	3
STICK & POWDER	18967
LIP & HEART	18
BRACELET & PUZZLE	1761
BRACELET WITH PENDANT	390
PAPER	725
WATCH & TABLET	486
HALF	30
DISK	1393
H&CUFF	15
GRASS	837
LIPS & STARS	66
SOLID GINGERBREAD MAN	8
WIGGLE	28
HERRING	140
PIGLET	203
LOOP	12
SIDEWINDER	17
BABY BOTTLE	1
TAPE WORM	41
P&A	57
CHECKER	123
MUSICAL NOTE	2603
DOT	6851
NECKLACE & CHARM	4
RACE CAR	3845
SPOON	24
X RAY FISH	20
CORN	811
ZIT	556
POPCORN	3159
WART	527
CANE WREATH	23
SCORPION	3
DEVIL	318
BONE & SKULL	569
BATS & RATS	46
JACK OLANTERN	46
STICK & FIGURE	355
WORM BURGER	3
CAKE	8
GUITAR	3216
PICTURE RING	5028
DISCO BALL	1615
SNOWMAN HEAD	891
LIPS AND FANGS	187
JEWEL	638
DAISY	463
FLOWER POP AND POWDER	687
CHRISTMAS TREE PACIFIER	423
CLUSTER BAR	484
KITTY	406
ROSE BOUQUET	30
CANDY CORN	99
PIRATE COIN	78
ORANGE SEGMENT	387
DOMINO	33
COFFEE AND TEA CUP	61
SNOWMAN WITH BROOM	7
MITTEN	6
MONSTER GOO	123
BOUQUET	448
TROPICAL FISH	553
RING POP AND POWDER	720
FINGER POP AND POWDER	514
POP AND PIECE	39
SAILBOAT	28
BOMB POP	28
FUN BUG	361
WAX MUSTACHE	274
SMOOCHI LIP	7
B&AGE	15
HEART CHEW	103
ARMY GUYS	220
JELLYFISH	17
HULA KEIKI	20
APPLE	357
ALPHABET & NUMBER	8
MEN	182
SKELETON HAND	774
CENTIPEDE	720
EARTH WORM	728
SHRUNKEN HEAD	1088
TENTACLE	729
BOOOO BANDS	665
DOLL	4
LIGHTENING BUGS	178
PIPE	8
TONGUE TWISTER	6
NIGHT CRAWLER BAIT WORM	799
STRING & RING	1075
TREE & SANTA	443
TWO HEADED SNAKE	1
CANE & BEAR	124
TONGUE & TATTOO	448
EYE BALL & WORM	412
VAMPIRE FANGS	86
FRANKENSTEIN BRAIN	82
SNOWY BEAR	41
CHRISTMAS TREE & SNOWMEN	3
MUSHROOM	30
HOLLY BEAR	5
TREASURE CHEST	906
SOLID PRESENT	330
SOLID FACE	289
STIK	2
BEE	33
PRESENT	21
BAT & MOON	4
VAMPIRE TEETH	1540
CHICKADEE	794
SOLID CHICKADEE	734
BUNNY EARS	614
EAR	593
ALPHABET AND HEART	4
BUNNY WITH EGG	9
CROC SHOE	22
BASEBALL PLAYER	5
SANTA SLEIGH	4
SOLID DOG	4
CHICKEN IN BROKEN EGG	362
SOLID CHRISTMAS TREE	74
SOLID LADY BUG	48
SOLID BUTTERFLY	45
HOLLOW HEART	19
LEPRECHAUN	4
